rating,name,games,goals,team,position
3.33,?rjan Nyland,6,0,Ingolstadt,Torwart
-,Christian Ortag,0,0,Ingolstadt,Torwart
3.04,Ramazan ?zcan,28,0,Ingolstadt,Torwart
-,Thomas Blomeyer,0,0,Ingolstadt,Abwehr
3.42,Romain Br?gerie,22,0,Ingolstadt,Abwehr
3.43,Danny da Costa,20,0,Ingolstadt,Abwehr
-,Danilo Soares ,1,0,Ingolstadt,Abwehr
3.33,Konstantin Engel,4,0,Ingolstadt,Abwehr
3.15,Benjamin H?bner,30,1,Ingolstadt,Abwehr
3.31,Tobias Levels,16,1,Ingolstadt,Abwehr
3.00,Marvin Matip,33,2,Ingolstadt,Abwehr
3.71,Alfredo Morales,24,1,Ingolstadt,Abwehr
3.31,Markus Suttner,18,0,Ingolstadt,Abwehr
3.67,Robert Bauer,24,1,Ingolstadt,Mittelfeld
3.64,Max Christiansen,19,0,Ingolstadt,Mittelfeld
3.58,Almog Cohen,20,0,Ingolstadt,Mittelfeld
3.57,Pascal Gro?,32,1,Ingolstadt,Mittelfeld
4.00,Maurice Multhaup,4,0,Ingolstadt,Mittelfeld
3.40,Roger ,29,1,Ingolstadt,Mittelfeld
3.68,Moritz Hartmann,30,12,Ingolstadt,Sturm
3.78,Lukas Hinterseer,28,6,Ingolstadt,Sturm
-,Aloy Ihenacho,0,0,Ingolstadt,Sturm
3.83,Elias Kachunga,10,0,Ingolstadt,Sturm
3.64,Mathew Leckie,32,3,Ingolstadt,Sturm
3.38,Stefan Lex,21,2,Ingolstadt,Sturm
3.43,Dario Lezcano,17,2,Ingolstadt,Sturm
3.06,Christian Mathenia,33,0,Darmstadt,Torwart
-,Patrick Platins,0,0,Darmstadt,Torwart
4.00,?ukasz Za?uska,1,0,Darmstadt,Torwart
3.35,Luca Caldirola,34,0,Darmstadt,Abwehr
3.55,J?nior D?az,12,0,Darmstadt,Abwehr
3.50,Gy?rgy Garics,21,0,Darmstadt,Abwehr
-,Benjamin Gorka,4,0,Darmstadt,Abwehr
3.59,Fabian Holland,18,0,Darmstadt,Abwehr
3.33,Florian Jungwirth,19,0,Darmstadt,Abwehr
3.42,Slobodan Rajkovi?,15,1,Darmstadt,Abwehr
3.25,Konstantin Rausch,31,2,Darmstadt,Abwehr
3.25,Sandro Sirigu,6,0,Darmstadt,Abwehr
-,Michael Stegmayer,0,0,Darmstadt,Abwehr
3.18,Ayta? Sulu,33,7,Darmstadt,Abwehr
-,Noel Wembacher,0,0,Darmstadt,Abwehr
-,Jan Finger,0,0,Darmstadt,Mittelfeld
3.27,Jer?me Gondorf,33,3,Darmstadt,Mittelfeld
-,Milan Ivana,1,0,Darmstadt,Mittelfeld
-,Ali Kazimi,0,0,Darmstadt,Mittelfeld
3.52,Tobias Kempe,31,0,Darmstadt,Mittelfeld
3.42,Peter Niemeyer,31,2,Darmstadt,Mittelfeld
3.48,Jan Rosenthal,23,0,Darmstadt,Mittelfeld
-,Yannick Stark,0,0,Darmstadt,Mittelfeld
-,Nick Volk,0,0,Darmstadt,Mittelfeld
3.50,Mario Vran?i?,22,2,Darmstadt,Mittelfeld
3.09,Marcel Heller,33,6,Darmstadt,Sturm
4.00,Felix Platte,11,0,Darmstadt,Sturm
3.50,Marco Sailer,14,1,Darmstadt,Sturm
3.83,Dominik Stroh-Engel,15,0,Darmstadt,Sturm
2.97,Sandro Wagner,32,14,Darmstadt,Sturm
